Sex;Language;Education;Age;Wages
Male;English;16;29;13
Female;English;9;65;15.5
Male;English;11;25;13.5
Male;English;14.5;54;13.62
Male;English;17;54;15.5
Female;Other;8;61;15.5
Female;English;10;51;9.4
Female;English;17;34;14.77
Female;English;8;78;15.5
Female;English;12;24;7.5
Male;English;12.5;50;11.04
Female;Other;13;31;11.5
Female;English;14.5;46;10
Male;English;11.5;28;19.38
Male;English;15;64;15.5
Male;English;11.6;20;6.71
Female;Other;9;68;15.5
Female;English;9;72;15.5
Female;English;11;70;15.5
Female;English;14;63;15.5
Female;English;12;69;15.5
Male;English;12.5;62;15.5
Female;English;13;34;15.33
Male;English;11;53;15.5
Female;English;12;41;15.5
Female;English;8;46;15.5
Female;English;11;34;15.5
Female;English;14.2;30;15.5
Male;English;11;52;15.5
Male;English;13;28;12.48
Female;English;12.7;37;14.65
Female;English;10;27;15.5
Female;Other;10.1;35;8.91
Female;English;11;51;16.46
Male;English;12;49;15.5
Male;English;19.5;37;16.76
Female;Other;10;66;15.5
Male;English;12.3;31;15.34
Male;French;12;77;15.5
Female;English;13;81;15.5
Male;English;12;23;8.96
Male;English;13;42;20.87
Male;Other;10;45;15.5
Female;English;12;19;7
Male;English;11;51;15.5
Male;English;10;17;15.5
Male;English;8;76;15.5
Female;English;10;78;15.5
Male;English;13;28;9
Male;English;15;42;21.6
Male;English;15;66;15.5
Male;English;19;28;14.93
Female;English;11;57;15.5
Male;English;15;25;15
Female;English;14.1;20;9
Male;English;10;24;13.76
Male;English;16;75;15.5
Male;English;12.5;22;9
Male;English;8;67;15.5
Female;English;10;56;6.48
Female;English;13;38;13.06
Male;English;9;45;17.46
Female;English;13;18;6.76
Female;English;12;62;15.5
Female;English;17;30;21.94
Female;French;14;52;18.79
Female;English;17.4;40;13.75
Female;English;13;44;15.5
Female;English;12;68;15.5
Female;English;12;35;15.5
Male;English;13.2;30;10.22
Female;French;0;85;15.5
Female;English;16;55;21.99
Male;Other;12.5;66;15.5
Male;Other;12;68;15.5
Female;French;13.8;28;15.5
Male;English;12;34;15.25
Female;English;16.3;23;6.7
Female;English;17.5;24;8.47
Female;English;17;70;15.5
Male;Other;13;45;15.5
Male;English;14;20;11
Male;French;15;25;13.14
Male;French;12;23;11.45
Female;English;11;56;21.94
Male;Other;12;52;15.5
Male;English;10;49;12.48
Male;English;10;64;15.5
Male;Other;16;32;15.5
Female;English;16;30;16.06
Male;English;13;85;15.5
Female;English;10.5;61;16.85
Female;English;16;54;15.5
Male;English;15;49;14
Female;English;16;23;15.5
Female;English;10;80;15.5
Male;English;16;42;7
Female;English;10;51;15.5
Female;English;14;42;8.33
Female;English;13;52;11.78
Female;English;12.5;58;12.25
Male;English;17;42;21.94
Female;English;14;45;15.5
Female;English;10;41;10.18
Male;French;13.5;40;18.81
Male;Other;12;74;15.5
Male;Other;13;40;22.21
Female;English;12.5;60;15.5
Male;English;13;23;9.45
Male;French;12;49;21.34
Female;English;13;36;11.87
Male;English;11.6;20;8.03
Female;English;16;48;15.5
Male;French;12;48;16
Female;English;17.5;35;14.89
Male;French;13;18;6.7
Male;English;20;41;18.92
Male;English;10;37;15.5
Male;English;12;32;15.5
Female;English;15;30;21.1
Female;French;12;84;15.5
Female;Other;15;29;15.5
Female;English;12;49;10
Female;English;10.5;60;6.25
Male;Other;8;38;15.5
Female;Other;9;33;9
Female;English;14;55;15.5
Female;French;11.5;45;15.5
Male;Other;11;63;15.5
Male;English;10;31;13
Male;Other;7;18;7.16
Female;English;12.5;21;6.78
Male;English;11;79;15.5
Female;Other;4;45;7.01
Male;English;8;81;15.5
Male;English;12;18;9.63
Female;English;13;26;15.5
Female;English;8;65;15.5
Female;Other;15;33;15.5
Female;English;10.5;56;13.78
Male;English;20;35;15.5
Male;French;18;23;15.36
Female;English;12;18;7
Male;English;7;78;15.5
Male;English;11;25;11
Female;English;11.2;55;15.43
Female;English;15;33;11.5
Female;English;15;69;15.5
Female;English;14;66;15.5
Female;English;10;60;15.5
Male;English;12;30;22.08
Male;English;15;21;15.5
Female;English;17;57;15.5
Female;English;13;26;12.51
Male;Other;8;61;15.5
Male;English;12;18;6.7
Male;English;15;34;9.57
Male;English;10;45;9.66
Female;English;10;81;15.5
Female;English;20;29;19.04
Male;English;20;31;15.5
Female;English;17.1;26;13
Female;Other;8;58;9
Male;English;15;45;22.68
Female;Other;12.2;21;6.5
Female;English;12;57;6.75
Male;English;12.5;49;15.5
Male;English;12;59;15.5
Female;English;13;19;15.5
Female;English;9;46;15.5
Male;English;16;33;18.13
Male;English;8.2;35;17
Male;English;18;33;15.5
Male;English;10;33;11
Male;English;16;29;6.61
Female;English;12;53;15.5
Male;English;10;74;15.5
Male;English;12.5;61;15.5
Male;English;7;85;15.5
Female;English;13;64;19.19
Female;English;11;19;15.5
Male;English;10;16;6
Male;English;12.5;19;6.89
Male;English;12;46;8.9
Male;English;14.5;20;9
Female;English;12.5;33;15.5
Male;Other;15;51;12
Female;English;12;36;15.5
Female;English;17;58;15.5
Male;English;17;23;12.9
Male;English;12;48;16.67
Male;French;8;54;18.58
Male;English;13.4;41;15.5
Male;English;13;41;19
Male;English;13;33;15.5
Female;Other;6;58;15.5
Female;English;10;44;15.5
Male;Other;13;27;15.5
Female;English;16;70;15.5
Male;English;15.5;23;15.5
Male;English;12;39;14.47
Female;English;12;29;7.5
Female;English;12;50;15.5
Female;English;10.5;51;11.55
Female;English;15;27;12
Male;Other;18;27;17.57
Female;French;19.3;27;10
Female;English;13;29;15.5
Male;English;8;50;15.5
Female;English;12.5;65;15.5
Male;Other;12;61;15.5
Male;English;12.5;42;15.5
Male;English;17.5;61;15.5
Male;English;12;34;15.54
Male;English;11;22;8.33
Female;English;12;19;15.5
Female;English;10;57;15.5
Female;English;13;41;15.5
Female;English;12.5;54;7
Female;English;12.5;39;6.7
Female;English;13;20;15.5
Female;Other;6;72;15.5
Male;English;17;77;15.5
Female;English;16;44;17.67
Female;English;13;26;10.08
Male;English;16.5;26;18.24
Male;English;20;46;19.56
Female;English;15;23;8
Female;English;12;71;15.5
Male;English;12.5;21;8.48
Female;Other;12;35;14.88
Male;English;15;37;22.53
Female;English;11;18;7
Male;English;8.5;38;9.54
Male;English;14;53;15.5
Male;English;8;80;15.5
Female;English;13;49;9.32
Female;English;12.6;19;6.15
Male;English;12;38;15.5
Female;English;12;58;9.5
Male;English;14.1;27;11.97
Female;English;13;42;15.89
Female;English;16;24;15.42
Female;English;12;35;14.63
Male;English;19;25;15.5
Male;Other;12.5;47;8.79
Male;English;15.2;32;15.5
Female;Other;3;64;15.5
Male;English;17;27;18.72
Female;English;16.8;25;6.85
Male;English;14;33;7.78
Female;English;14.5;40;15.85
Male;English;13;18;6.35
Female;English;11;17;15.5
Male;English;5.5;54;15.5
Male;English;10;31;15.5
Male;English;12;73;15.5
Male;English;15;69;15.5
Male;English;12.5;32;20.98
Male;English;18;29;15.5
Male;English;8;57;12
Male;Other;14;44;15.5
Female;English;13;74;15.5
Male;English;17.6;25;15.74
Female;English;8.5;51;15.5
Male;English;9;54;12.91
Male;English;12.5;26;15.36
Male;English;13.5;67;15.5
Female;English;14;53;15.5
Female;English;15;21;9.24
Female;English;3;80;15.5
Male;French;12;18;8.5
Female;Other;11;61;15.5
Female;English;12;45;8.7
Male;English;15.1;38;16.32
Male;Other;13.9;21;15.5
Male;French;14;22;6.09
Female;English;18;31;21.6
Male;French;11.5;25;17.5
Female;English;11.5;25;6.4
Female;English;13.1;42;14.65
Male;English;8;81;15.5
Female;English;17;36;15.5
Female;English;14;21;6.34
Female;English;7;51;15.5
Female;English;8;69;15.5
Female;French;20;39;13.7
Male;English;14.5;63;18.24
Female;English;14;45;13.25
Female;English;11;60;9.7
Female;Other;13.6;36;10.75
Male;English;11;27;15.5
Female;English;8;70;15.5
Female;French;11.5;66;15.5
Female;English;16;45;14.88
Male;English;14;28;17.14
Female;Other;10.5;20;15.5
Female;French;16.5;63;15.5
Male;English;9;61;15.5
Male;English;9;86;15.5
Female;English;17;26;15.5
Female;English;12;49;17.1
Female;English;9;79;15.5
Female;English;12;31;14.4
Male;English;11;57;15.5
Female;English;14;40;7.56
Male;French;11;51;9.75
Male;English;19;50;18.46
Male;English;13;68;15.5
Female;English;20;40;22.08
Male;English;13.3;22;8.33
Male;English;15.5;50;15.5
Male;English;18.7;35;22.36
Female;English;11;20;15.5
Female;English;19;30;19.2
Male;English;13;56;21.68
Male;Other;10;62;15.5
Male;English;15;34;8.33
Female;English;20;38;22.27
Male;English;12;31;15.5
Male;Other;17;25;7.2
Male;English;12.3;21;10
Male;English;17;25;17.21
Male;English;12.5;16;7
Female;French;12;36;12.48
Male;English;12;18;15.5
Female;English;17;35;18.24
Male;English;15.2;64;15.99
Male;English;10;47;19.2
Female;French;12.5;42;15.5
Male;English;12.5;66;15.5
Female;English;12;33;11.88
Male;English;14.5;22;11.92
Male;English;15;37;15.5
Female;Other;8;52;15.5
Female;English;7;76;15.5
Female;Other;5;53;15.5
Male;English;12;33;18
Male;English;14.5;22;8.5
Male;English;17.3;22;11
Male;English;12;47;19.2
Male;English;10;70;15.5
Female;English;12.5;77;15.5
Female;French;8;82;15.5
Male;English;14;65;15.5
Male;English;11.2;53;17.26
Male;English;17;24;15.5
Male;English;9;48;14.02
Female;English;10;47;15.5
Female;English;15.6;54;8
Female;English;8;87;15.5
Female;English;14;32;12.86
Female;French;10;40;15.5
Female;English;11;42;13.8
Male;English;13.8;47;22.32
Male;English;8;75;15.5
Female;English;10;40;8.75
Female;Other;6.5;68;15.5
Female;Other;12;27;15.5
Male;English;12.5;17;6.25
Female;English;12.5;46;8.89
Female;English;14;24;15.5
Female;English;14;30;15.5
Female;English;14.6;32;15.16
Female;English;10;17;15.5
Female;English;12;64;15.5
Female;English;12.6;33;6.13
Female;English;12;17;7
Female;English;10;22;6.7
Female;English;9;54;8.5
Male;English;9;60;17
Female;English;12;52;15.57
Female;English;15;28;15.5
Female;English;9;39;13.48
Male;Other;0;58;15.5
Male;English;12;72;15.5
Female;French;13.5;60;12.5
Female;English;12.3;18;6.75
Female;English;8;63;15.5
Male;English;13;42;21.6
Male;English;8;65;15.5
Female;English;10;48;15.5
Male;English;8;41;15.5
Male;English;8;74;15.5
Female;English;16.5;29;15.5
Male;English;12;19;6.63
Female;English;10;92;15.5
Female;English;11;17;15.5
Male;Other;6;51;15
Female;English;13;56;19.97
Female;Other;15;39;13.7
Male;English;10;64;17.45
Male;French;9;50;15.5
Female;English;11;52;15.5
Male;Other;14.9;38;15.5
Female;English;12;18;15.5
Female;Other;15;20;15.5
Female;English;17;24;8.34
Male;Other;11;58;8.41
Female;English;16.4;25;14
Male;Other;9;29;8.6
Male;English;11;66;15.5
Male;English;8;73;15.5
Female;English;14;38;15.5
Male;Other;10;65;15.5
Male;Other;0;64;11.18
Male;English;12;20;15.5
Female;English;6;69;15.5
Female;English;12.8;49;15.5
Male;English;13.2;42;14.4
Male;English;13.5;38;16
Male;English;9;16;15.5
Male;English;8;72;15.5
Male;English;13;32;20.64
Female;English;9;60;11.8
Female;English;10;16;6.25
Male;English;15;20;15.5
Female;English;12;36;11.9
Female;English;12;62;15.5
Male;French;20;77;15.5
Female;English;11;48;15.5
Male;English;15;49;15.5
Male;French;12;21;15.5
Male;English;10;16;9.01
Male;English;17;24;15.5
Male;Other;4;71;15.5
Male;English;13.5;25;8
Female;Other;9;82;15.5
Male;English;12;53;15.84
Female;English;13;55;12.07
Male;Other;17;29;20
Female;French;12.5;31;12.48
Female;English;12;30;7.93
Female;Other;4;74;15.5
Male;English;12;44;15.5
Male;English;14.1;25;8.75
Male;English;13;34;12.2
Female;English;18;53;18.75
Male;English;12;37;15.5
Male;English;9;64;15.5
Male;English;13;54;15.95
Male;English;13.2;25;11
Female;English;17.5;41;13
Female;English;12;47;15.36
Female;French;9;50;7.1
Female;English;8;69;15.5
Male;Other;13;68;15.5
Male;French;11;36;10.84
Male;French;12;36;15.36
Male;English;16;38;21.39
Female;English;8;63;15.5
Female;English;17;28;7.08
Female;English;13.9;20;6.7
Female;Other;8;77;15.5
Female;English;13;32;15
Male;French;12;39;17.62
Female;English;9;46;10
Female;Other;18;29;9.89
Female;English;12.5;36;7.36
Female;Other;11;17;8.75
Female;English;17;35;15.5
Male;English;10;45;15.23
Female;English;12.5;75;15.5
Male;English;18.5;23;15.5
Male;English;15.1;47;15.5
Male;Other;12;47;18
Female;English;12.5;73;15.5
Female;English;15.5;24;17.95
Female;French;10;71;15.5
Male;English;10;16;15.5
Male;English;11;17;15.5
Female;Other;2;70;15.5
Male;English;9.5;29;12.5
Female;English;12.5;44;16.45
Female;French;9;64;13.05
Male;English;13;44;17.85
Female;English;12;31;15.5
Male;English;14;31;15
Female;English;14.5;23;15.5
Female;English;13;34;10
Male;English;13;31;11.29
Male;English;12;17;15.5
Female;English;14.5;65;15.5
Female;English;12;38;7.54
Female;English;3;55;15.5
Male;English;13;27;14.96
Male;English;10;32;10.26
Male;English;12;26;16.22
Male;English;11;51;15.5
Male;English;14.8;36;11
Male;Other;8;72;15.5
Male;English;10;36;15.5
Female;English;10;75;15.5
Female;English;12;32;20.3
Female;English;12;34;15.5
Female;Other;3;65;15.5
Male;English;20;34;15.75
Female;English;11;71;15.5
Female;Other;13;42;13.59
Male;English;12;41;11.5
Female;English;12;62;15.5
Male;English;17;24;9.35
Male;English;12.1;16;8.12
Female;English;8;64;15.5
Male;English;9;50;15.5
Female;English;10.4;21;15.5
Female;Other;12;39;9.6
Male;French;13;27;16.51
Male;English;11;61;15.5
Male;English;18;47;16.5
Female;English;9.5;50;15.5
Male;English;9;54;14.71
Male;Other;16;66;15.5
Male;English;12.5;16;15.5
Male;Other;18.3;40;19
Female;English;11.5;74;15.5
Male;Other;9;71;15.5
Male;English;13;40;15.5
Male;Other;15;31;7.5
Male;English;7;56;19.2
Male;Other;10;45;15.5
Male;English;10;48;16
Male;English;13;51;15.5
Male;English;10;47;16.22
Male;English;14.3;41;6.83
Female;English;12;30;19.2
Female;French;12.5;78;15.5
Female;English;12;39;15.5
Female;English;12;77;15.5
Female;English;12.5;49;15.5
Female;English;12;21;15.5
Female;Other;12.3;25;7.5
Female;English;15.3;37;10.18
Male;English;12;36;15.5
Female;English;8;36;15.5
Female;English;12.4;32;15.5
Female;French;6;86;15.5
Male;English;10;50;17.76
Male;English;12;23;6.58
Female;Other;13;64;14.23
Female;English;20;30;10
Female;English;17;34;7
Female;English;8.1;21;15.5
Female;English;17.5;41;22.39
Male;English;9;78;15.5
Female;Other;10;39;15.5
Female;Other;9;53;11.52
Female;English;8;49;6.85
Male;English;13;30;15.5
Female;English;10;45;6.53
Female;French;13;51;15.5
Male;English;11;19;15.5
Female;English;10;69;15.5
Female;English;16;74;15.5
Male;English;14;68;15.5
Female;English;12.5;34;15.5
Male;English;10;49;15.5
Female;English;12;61;16.81
Male;English;8;74;15.5
Male;English;14.1;27;19.55
Female;English;19;25;7.2
Female;English;11;38;8.55
Female;Other;7;80;15.5
Male;English;15;26;19.39
Male;English;10.5;31;17
Male;English;16;67;15.5
Male;English;10;69;15.5
Female;English;13;49;15.5
Male;French;8;60;15.5
Male;English;16;48;20.16
Male;English;13;41;15.5
Male;Other;15;64;15.5
Female;English;13.1;36;18.56
Female;English;15;35;12.81
Male;English;12;25;7.03
Female;English;11;70;15.5
Female;Other;14.5;32;15.5
Male;French;15;25;15.5
Female;English;14;44;20.64
Male;English;8;74;15.5
Male;English;13.5;33;11.99
Male;English;12.9;19;7.4
Female;English;8;72;15.5
Female;English;10;28;15.5
Female;English;10;36;11
Female;English;15.1;35;22.4
Female;English;16;22;6.75
Female;English;10;46;18.24
Female;English;9.4;24;7.47
Male;English;9;37;12.39
Male;English;9.3;22;15.5
Female;English;18;42;20.85
Female;English;12;30;15.28
Male;English;13;29;17.1
Male;French;8;60;11.68
Female;English;12;74;15.5
Female;French;13;26;7
Male;English;13;38;15.5
Female;English;12;72;15.5
Female;Other;8;77;15.5
Male;English;15;36;22.54
Male;French;5;68;15.5
Female;English;13;37;8.53
Female;French;8;67;15.5
Male;English;10;46;15.5
Male;English;8;72;15.5
Male;English;19;46;14.13
Female;English;14.5;45;16.32
Female;Other;10;85;15.5
Male;English;12.5;57;15.5
Male;English;8;51;15.5
Female;Other;17.5;28;12.29
Female;English;12.5;29;15.5
Female;English;12;36;9.23
Male;English;17;51;15
Female;English;13.9;31;19.61
Male;English;20;75;15.5
Male;English;16;24;10.56
Female;Other;14.5;25;7
Male;Other;14.5;23;10
Female;English;12.5;47;6.63
Female;English;10;19;15.5
Male;English;12;51;18.92
Male;English;8;59;15.5
Female;English;14.1;40;18.24
Female;English;14;69;15.5
Female;English;13;34;16.45
Female;Other;12;50;11.49
Female;English;15;21;6.7
Male;English;12.5;37;13.25
Female;English;11;51;15.5
Male;English;10;76;15.5
Female;English;14.3;34;15.5
Female;English;18.1;43;14.59
Male;Other;8;25;15.5
Female;English;10;70;15.5
Male;English;13.5;34;15.36
Female;English;13;55;16.4
Male;English;13.5;41;12
Female;English;12;17;9.15
Female;English;17;29;15.5
Female;English;14.8;37;8.61
Male;English;12;42;21.6
Male;Other;9;22;13.06
Male;English;13;36;15
Female;English;14;31;9
Female;English;17;88;15.5
Female;English;15;43;15.5
Female;English;13;71;15.5
Female;English;12;26;15.5
Female;English;14;42;12.8
Female;English;16;32;16
Female;English;12;26;15.5
Male;French;0;75;15.5
Female;English;12.6;45;15.5
Female;English;15;31;18.03
Female;English;15.5;23;15.5
Female;Other;15;70;15.5
Male;English;15;75;15.5
Female;English;17;19;12
Female;English;14.5;32;15.5
Male;English;14;29;18.26
Male;English;12;28;15.5
Male;English;20;29;15.84
Female;English;11;54;15.5
Female;Other;13;29;6.76
Male;English;11;43;19.68
Female;English;12;31;7
Male;English;14;27;15.5
Male;English;12.2;22;15.5
Female;Other;10;55;15.5
Female;English;17;25;17.87
Male;English;10;34;14.35
Female;English;11.5;47;15.5
Male;English;8;69;15.5
Male;English;12;21;15.5
Male;English;7;66;15.5
Male;English;8;46;17.84
Male;English;12;44;15
Male;English;19;61;15.5
Male;English;11;67;15.5
Female;French;11.5;79;15.5
Female;English;10;40;21
Female;English;17.4;25;15.36
Female;Other;8;81;15.5
Female;Other;10.5;61;15.5
Female;English;17;45;21.12
Male;English;15;66;15.5
Female;English;16.6;39;13.44
Female;Other;6;76;15.5
Male;English;14;37;20.31
Female;English;16.9;30;15.5
Male;English;10.5;65;15.5
Female;English;13.8;21;9.41
Female;English;12;76;15.5
Female;English;12;19;6.8
Male;English;10;17;9.21
Female;French;13;43;15.5
Female;English;13;25;13.63
Male;English;13;42;20.95
Male;French;14;39;15.5
Female;Other;11.5;44;7.5
Female;English;12.3;42;15.5
Male;English;12;37;17.34
Female;English;10;19;7.05
Female;English;12;65;15.5
Female;English;10;31;21.3
Female;Other;8;47;15.5
Male;English;12.5;34;15
Male;French;13.5;53;15.5
Female;English;13;19;15.5
Female;French;13;43;13.56
Female;English;8.5;45;15.5
Male;English;20;61;15.5
Male;English;12;17;6.7
Male;Other;5;86;15.5
Female;Other;10;53;13.82
Male;English;12;17;6.54
Male;English;12;28;12
Female;English;11;54;15.5
Female;Other;19;59;16.7
Female;Other;14.5;36;12.8
Male;English;16;47;20
Female;English;16;29;9.03
Female;English;14;70;15.5
Female;English;12;40;16.73
Male;English;9;64;10
Male;English;11.5;33;12.78
Male;English;12.5;68;15.5
Male;English;20;26;21.31
Female;English;14;34;15.5
Male;English;16;43;20.07
Male;English;15;28;15.5
Female;English;17;24;8.39
Female;English;12;48;15.5
Female;English;14;22;15.5
Female;English;14;27;15.5
Male;English;12;34;19.2
Female;English;12;65;6.71
Male;English;12;47;21.6
Male;English;19;62;15.5
Female;French;10;60;15.5
Male;English;10;49;14.84
Male;English;9;48;19.18
Female;English;12.5;42;12.37
Female;English;12;37;21.04
Female;English;8;61;15.5
Female;Other;11;61;6.75
Male;English;10;16;15.5
Male;English;12;26;10.98
Female;English;13.6;19;12
Female;English;15;28;10.7
Male;English;15;36;17.67
Male;English;15.5;23;9.99
Female;English;16;27;14.38
Male;English;14;75;15.5
Male;English;18;61;15.5
Female;English;15.6;20;15.5
Male;English;10;39;11.81
Male;English;12;69;15.5
Male;English;17;65;15.5
Female;Other;12;19;6.5
Male;Other;15.6;32;15.5
Male;English;10;47;22
Female;English;18.1;25;17.42
Female;English;13.4;40;11.61
Male;English;12;35;9.43
Female;English;12.5;66;15.5
Male;English;17;41;19.9
Male;English;13.1;20;8.65
Female;English;10;51;15.5
Female;English;11;65;15.5
Female;English;11;18;15.5
Female;English;11;23;15.5
Female;English;14;32;15.5
Male;English;15.1;47;19.2
Male;English;11;77;15.5
Female;Other;12;28;10.18
Female;English;10;16;6.76
Female;English;16.3;25;12.96
Female;English;12.5;73;15.5
Female;English;11;59;15.5
Female;English;16;34;15.5
Female;English;18;26;7.35
Male;Other;3;50;15.5
Female;English;12.5;29;13.59
Female;English;12.5;42;15.5
Male;English;7;66;15.5
Female;English;18.5;36;15.5
Male;Other;11;66;15.5
Female;Other;7;70;15.5
Female;English;13;40;15.5
Male;English;12.5;61;15.5
Male;English;12.5;33;9.54
Male;English;10;46;14.49
Male;English;11;17;10
Male;English;14;21;6.7
Female;English;12.5;74;15.5
Female;English;17;48;15.5
Male;English;13;19;12.19
Female;English;12;19;6.5
Female;English;14.1;22;15
Female;English;14;31;15
Female;Other;15;18;7
Female;English;11.5;61;15.5
Female;English;9;66;15.5
Female;French;12.5;47;15.5
Male;English;13.8;18;6.78
Female;English;15;52;15.36
Female;English;10;57;15.5
Male;Other;12.5;40;15.5
Male;English;15;33;15.5
Female;French;12.5;60;15.5
Female;English;11;49;13.68
Female;English;13;35;17
Female;English;10;59;15.5
Female;English;13;38;15.5
Female;English;16;34;15.5
Female;English;8;47;15.5
Female;English;14;31;15.5
Female;English;8;66;15.5
Male;English;10;50;15.5
Male;English;16;31;15.5
Male;English;16.3;39;15.5
Female;French;8;60;15.5
Male;English;11;17;6.85
Male;English;14;31;13.92
Female;English;11;17;6.7
Female;Other;20;26;16.59
Female;English;12.3;19;14.06
Male;English;10;66;15.5
Female;Other;19.3;45;10.45
Male;English;12.5;35;15.5
Male;French;10.6;38;14.34
Male;French;12.5;46;15.5
Female;English;17;30;14.11
Female;English;0;42;16.96
Female;English;17;24;6.7
Female;English;10;61;15.5
Female;Other;15.5;20;7.39
Male;English;11;63;15.5
Female;English;15;32;10.85
Female;French;10;16;15.5
Male;English;13;46;15.5
Male;English;10;17;15.5
Female;English;13;66;15.5
Male;English;11;16;15.5
Male;English;8;64;15.5
Female;Other;3;72;15.5
Male;Other;12;49;15.5
Male;English;13.5;27;13.96
Male;English;14;26;10
Female;English;16;49;21.5
Female;English;11;29;15.5
Female;English;15;25;15.5
Female;English;12;54;12.81
Female;English;13;39;19.2
Female;English;11.5;33;15.5
Male;English;15;60;15.5
Male;English;15;27;17.76
Female;English;9;55;14.4
Male;French;9;70;15.5
Male;English;12.5;84;15.5
Female;English;8;51;10.87
Female;English;12;64;15.5
Female;English;17;75;15.5
Male;English;12;17;6.7
Male;English;8;77;15.5
Female;Other;12;59;15.5
Male;English;14;30;15.5
Female;English;11;48;6.91
Female;English;15;33;15.5
Female;English;12;18;15.5
Male;French;9;60;15.5
Female;English;16;43;15.72
Female;French;12.3;42;20
Female;English;15;40;10
Female;English;8.8;53;15.5
Male;English;12;36;11
Female;Other;14;22;8.09
Male;English;17.1;27;8.5
Female;English;12;59;15.5
Male;English;19;33;19.75
Female;French;12;56;11
Female;French;13;38;12.6
Male;English;9;49;15.5
Female;English;14;33;15.5
Male;French;14;31;18
Male;English;13;32;15.5
Female;English;18;29;16.95
Female;French;13.4;31;15.5
Female;English;13.9;39;15.5
Male;Other;8;30;8
Male;English;19;51;15.5
Female;English;12;64;15.5
Female;English;8;59;15.5
Female;Other;11.8;19;15.5
Female;Other;6;63;15.5
Male;English;4;67;15.5
Female;English;12;47;15.5
Female;English;13;28;15.5
Female;English;13;18;6.7
Female;English;14;34;15.5
Female;English;15;30;15.87
Female;English;16.1;30;19.61
Female;Other;10;55;11.67
Female;English;11;17;6.8
Male;English;12.8;24;13.5
Male;English;18;49;15.5
Female;English;12.5;33;7.95
Female;Other;4;69;15.5
Female;English;13;19;6.7
Male;English;13;60;15.5
Male;English;14;52;15.5
Male;English;14;33;13.53
Female;English;12.5;28;20.63
Female;English;12.5;31;15.5
Male;English;8;65;15.5
Male;English;13;18;8.16
Female;English;13;64;15.5
Male;English;14;53;15.5
Female;Other;18.4;50;15.5
Female;English;12;64;13.44
Male;English;12;37;15.5
Male;English;13.6;39;19.26
Male;English;11;19;6.75
Male;Other;8;53;8.5
Male;Other;9;68;15.5
Male;English;8;43;9
Female;English;12;21;12
Male;English;11.5;30;11.25
Female;Other;13;17;6
Female;Other;16;44;15.5
Male;English;10;62;8.89
Female;Other;10.5;48;11.96
Female;English;10;76;15.5
Female;English;10;16;15.5
Female;English;12.5;39;7.5
Female;English;8;81;15.5
Female;Other;12;48;22.2
Male;English;11;18;6.85
Male;English;13;37;7.75
Male;English;13;22;12
Male;English;14;28;15.5
Female;English;13;32;6.85
Male;English;13;23;15.5
Female;English;15.4;62;22.5
Male;English;12;36;15.5
Male;English;12.5;53;18.67
Male;English;10;35;15.5
Male;English;12.5;17;7
Female;English;11;56;15.5
Female;English;13;33;15.5
Female;Other;13;37;13.02
Female;English;13;20;15.5
Male;Other;12;46;11.52
Female;English;12.5;34;15.5
Female;French;10;64;15.5
Female;French;12;42;17.76
Male;English;7;62;15.32
Female;English;18.3;24;6.49
Female;English;17.1;63;15.5
Male;Other;18;48;15.5
Female;English;15.3;28;6.46
Female;English;12;26;11
Male;English;8;76;15.5
Female;English;12.5;34;7
Male;English;15;40;16.8
Female;English;16.5;47;21
Female;English;12;29;13
Male;English;8;73;15.5
Female;English;12;35;15.5
Female;English;12;45;13.38
Female;English;19;40;15
Female;English;8;62;15.5
Male;English;15;42;14.8
Female;English;10;62;15.5
Female;English;15;64;15.5
Male;Other;9;52;15.5
Male;English;10;17;15.5
Male;Other;12;46;15.5
Male;English;16;27;15.5
Male;English;13;31;14.09
Male;English;11;39;15.5
Female;Other;8;68;15.5
Female;English;9;69;15.5
Male;English;12;49;15.5
Female;Other;12.5;43;20.48
Female;Other;4;62;15.5
Female;English;8;39;15.5
Female;English;13.5;73;15.5
Female;English;13.5;58;15.5
Female;English;9;19;11.43
Female;French;14;63;15.5
Female;English;12;17;15.5
Male;English;12;76;15.5
Female;English;9;19;15.5
Male;English;11;24;12
Female;Other;9;52;9.6
Male;Other;12;28;18.65
Female;English;12.5;21;14
Male;French;8;65;15.5
Female;English;12;41;8.05
Male;English;10.4;34;8
Female;English;8;74;15.5
Male;English;12;19;10
Female;English;14;35;7.45
Female;French;8;65;15.5
Male;English;13.1;19;15.5
Male;English;10;65;15.5
Female;English;13;35;15.5
Male;English;15;64;15.5
Male;English;17;44;15.5
Female;English;12;40;12.6
Male;English;12.5;36;11.46
Female;English;10.5;44;16.46
Male;Other;11;61;15.5
Male;English;18;50;20.64
Female;English;8;73;15.5
Female;French;10.3;32;15.5
Female;Other;14;21;10.21
Female;Other;8;55;9.25
Male;Other;8;64;15.5
Male;English;17.1;23;15.5
Female;Other;14.5;42;17.81
Female;English;14;61;15.5
Male;English;13;34;16
Male;English;15;36;17.28
Female;English;9;62;8.5
Female;Other;12.2;48;11.35
Female;English;13.4;29;18.24
Female;Other;6;55;6.87
Male;French;15.6;27;18.07
Male;English;10;67;15.5
Male;English;7;65;15.5
Female;English;12.5;28;10.2
Male;English;12;39;14.28
Female;English;13.6;18;10.29
Female;English;12;39;15.57
Male;English;11;31;7.64
Female;English;14.9;21;15.5
